date,platform,file,heading,note
2026-07-07,Facebook,outputs/facebook-baron-vieux-page-launch-v1.md,### Post 1 — Page Launch / Introduction
2026-07-07,Instagram,outputs/instagram-baron-vieux-page-launch-v1.md,### Post 1 — Page Launch
2026-07-07,TikTok,outputs/tiktok-baron-vieux-page-launch-v1.md,### Script 1 — "Making an Exception" (Page Launch)
2026-07-07,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 1 — Page Launch
2026-07-09,Facebook,outputs/facebook-baron-vieux-page-launch-v1.md,### Post 2 — The Elixir
2026-07-09,Instagram,outputs/instagram-baron-vieux-page-launch-v1.md,### Post 2 — The Elixir (Quote Card)
2026-07-09,TikTok,outputs/tiktok-baron-vieux-page-launch-v1.md,### Script 2 — "Never Written Down" (The Elixir)
2026-07-09,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 2 — The Elixir
2026-07-11,Facebook,outputs/facebook-baron-vieux-page-launch-v1.md,### Post 3 — On Ownership
2026-07-11,Instagram,outputs/instagram-baron-vieux-page-launch-v1.md,### Post 3 — On Ownership (Quote Card)
2026-07-11,TikTok,outputs/tiktok-baron-vieux-page-launch-v1.md,### Script 3 — "Start Your Own" (On Ownership)
2026-07-11,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 3 — On Ownership
2026-07-12,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 7 — The Domain
2026-07-14,Facebook,outputs/facebook-baron-vieux-page-launch-v1.md,### Post 4 — The Storage Room
2026-07-14,Instagram,outputs/instagram-baron-vieux-page-launch-v1.md,### Post 4 — The Storage Room
2026-07-14,TikTok,outputs/tiktok-baron-vieux-page-launch-v1.md,### Script 4 — "The Storage Room" (Trend-adjacent, behind-the-scenes)
2026-07-14,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 4 — The Storage Room
2026-07-16,Facebook,outputs/facebook-baron-vieux-page-launch-v1.md,### Post 5 — Origin, Briefly
2026-07-16,Instagram,outputs/instagram-baron-vieux-page-launch-v1.md,### Post 5 — Origin (Character Reveal)
2026-07-16,Instagram,outputs/Baron_Origin_TikTok_FINAL_v3.mp4,AI-generated Origin video (Reel) — fills today's Origin slot,"Posted via Base44, not the text-post version above"
2026-07-16,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 5 — Origin Fragment
2026-07-17,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 6 — Systems Thinking Flex
2026-07-19,Facebook,outputs/facebook-baron-vieux-page-launch-v1.md,### Post 6 — Series Tie-In (softer plug)
2026-07-19,Instagram,outputs/instagram-baron-vieux-page-launch-v1.md,### Post 6 — Series Tie-In
2026-07-19,X,outputs/x-baron-vieux-page-launch-v1.md,### Tweet 8 — Series Tie-In
2026-07-20,X,outputs/social-content-prequel-v1.md,### Tweet 1 — Hook
2026-07-20,TikTok,outputs/social-content-prequel-v1.md,### TikTok Script 2 — "The Dish That Has No Recipe"
